element,id,geometry,addr:city,addr:street,amenity,emergency,healthcare,healthcare:speciality,name,addr:district,addr:full,addr:postcode,addr:state,source,addr:housenumber,operator,phone,website,wheelchair,name:en,fax,addr:landmark,contact:phone,description,email,operator:type,locality,start_date,wikidata,wikipedia,building,type
way,113779330,"POLYGON ((76.7755871 30.7655021, 76.7757604 30.7654636, 76.7756996 30.7652618, 76.7758904 30.7652194, 76.7758619 30.7651248, 76.7756668 30.7651682, 76.7756013 30.7649506, 76.7754383 30.7649868, 76.7754977 30.7651842, 76.7752634 30.7652363, 76.7752962 30.7653451, 76.7755245 30.7652943, 76.7755871 30.7655021))",,,hospital,,hospital,,Superintended Hospital Engineer Building,,,,,,,,,,,,,,,,,,,,,,,
way,129453616,"POLYGON ((76.7791465 30.7067623, 76.7782185 30.7078953, 76.7793043 30.7085602, 76.77943 30.7087347, 76.7794912 30.7088953, 76.7795009 30.7090837, 76.7794203 30.7092721, 76.7787405 30.7100893, 76.7810893 30.7115187, 76.7831707 30.7092333, 76.7831095 30.7088621, 76.7796233 30.7067041, 76.7791465 30.7067623))",Chandigarh,Sector-32,hospital,yes,hospital,,GMCH SECTOR 32,Chandigarh,"Sector-32, Chandigarh",160030,Chandigarh,OpenGovernmentData,,,0172-2601023,https://gmch.gov.in/,,Government Medical College Hospital,0172-2609360,Opposite CSIO,,District Hospital,dpgmch-chd@gmch.gov.in,government,,1991,Q5513730,"en:Government Medical College and Hospital, Chandigarh",,
way,129453735,"POLYGON ((76.7756722 30.7081513, 76.7785398 30.7099547, 76.7792261 30.7091486, 76.7792519 30.7089962, 76.7792326 30.7088715, 76.7791198 30.708733, 76.7765486 30.7071125, 76.7756722 30.7081513))",,,hospital,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,
way,129453737,"POLYGON ((76.778605 30.7060525, 76.7781056 30.7066371, 76.7785985 30.7069418, 76.7789304 30.7065623, 76.7789562 30.7064431, 76.7789562 30.7063296, 76.7788982 30.7062381, 76.778605 30.7060525))",,,fire_station,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129475678,"POLYGON ((76.7466393 30.7416514, 76.7474152 30.74211, 76.7475647 30.7419239, 76.7475286 30.7415118, 76.7470131 30.7412194, 76.7466393 30.7416514))",,,fire_station,,,,Fire Station,,,,,,,,,,,,,,,,,,,,,,,
way,129560199,"POLYGON ((76.7964023 30.7114934, 76.7957087 30.7123351, 76.796325 30.7127104, 76.7970186 30.7118688, 76.7964023 30.7114934))",,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129774350,"POLYGON ((76.7804233 30.7354292, 76.781013 30.7357908, 76.7806754 30.7361976, 76.7800857 30.7358359, 76.7804233 30.7354292))",,,fire_station,,,,Sector 17,,,,,,,,,,,,,,,,,,,,,,,
way,129774478,"POLYGON ((76.7783686 30.7398192, 76.7795283 30.7384345, 76.7788002 30.7379841, 76.7776405 30.7393687, 76.7783686 30.7398192))",,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129782458,"POLYGON ((76.7791642 30.7518858, 76.7809353 30.7497252, 76.7811807 30.749882, 76.7817545 30.7492093, 76.7827296 30.7498136, 76.7805837 30.7523533, 76.780053 30.7524188, 76.7791642 30.7518858))",Chandigarh,GMSH-16,hospital,yes,hospital,,GMSH Sector-16,Chandigarh,,160016,Chandigarh,OpenGovernmentData,,,,,,,,Near Rose Garden,1722768119,District Hospital,,,,,,,,
way,129790733,"POLYGON ((76.7859138 30.7575629, 76.7862087 30.7572124, 76.7857087 30.7569017, 76.7854137 30.7572522, 76.7859138 30.7575629))",,,fire_station,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,155001233,"POLYGON ((76.7808792 30.7634275, 76.7808522 30.7634622, 76.7809935 30.7635432, 76.7810224 30.763506, 76.7810847 30.7635402, 76.7811909 30.7633971, 76.7811319 30.7633648, 76.7811636 30.7633239, 76.7810223 30.763243, 76.7809887 30.7632863, 76.7809245 30.763251, 76.7808182 30.763394, 76.7808792 30.7634275))",,,hospital,,hospital,,Cancer Hospital,,,,,,,,,,,,,,,,,,,,,,,
way,155001235,"POLYGON ((76.7804214 30.7628728, 76.7801828 30.763176, 76.7805853 30.7634098, 76.7808239 30.7631066, 76.7807792 30.7630806, 76.7808391 30.7629733, 76.7808711 30.7631903, 76.7809513 30.7631731, 76.7809152 30.7629699, 76.7810187 30.7630314, 76.7809656 30.7631017, 76.7812718 30.7632722, 76.781541 30.7629152, 76.7812349 30.7627447, 76.7810891 30.762938, 76.780959 30.7628702, 76.781079 30.7628484, 76.7809915 30.7624935, 76.7808671 30.7625162, 76.7808322 30.7623813, 76.7806792 30.7624105, 76.7807137 30.7625441, 76.7805097 30.7625812, 76.7805971 30.7629361, 76.7807119 30.7629152, 76.7806638 30.7630136, 76.7804214 30.7628728))",,,hospital,,hospital,,New OPD,,,,,,,,,,,,,,,,,,,,,,,
way,798339295,"POLYGON ((76.7638487 30.7200939, 76.7644041 30.7204109, 76.7647029 30.7200497, 76.7641451 30.7197107, 76.7638487 30.7200939))",,,police,,,,Police Station South,,,,,,,,,,,,,,,,,,,,,,yes,
way,1153423420,"POLYGON ((76.7175039 30.7349483, 76.7178553 30.7351281, 76.7181923 30.7346437, 76.7177774 30.7344134, 76.7176272 30.7343612, 76.7175039 30.7349483))",,,hospital,,hospital,,RHTC Palsora,,,,,,,,,,,,,,,,,,,,,,,
way,1360772601,"POLYGON ((76.7744509 30.7042145, 76.7754038 30.704813, 76.7758462 30.7043124, 76.7748835 30.703714, 76.7744509 30.7042145))",Chandigarh,Chandi Path,hospital,,hospital,,Mental Health Institute,CHANDIGARH,,160047,,,"32C, Sector 32, Chandigarh, 160047",,,,,,,,,,,,,,,,,
